carat,cut,color,clarity,depth,table,price,x,y,z
1.25,5,4,6,62.5,54,10636,6.88,6.93,4.31
1.41,4,4,3,59.5,59,8758,7.35,7.3,4.36
1.55,5,6,5,61.2,55,10286,7.49,7.47,4.58
0.27,5,1,6,61.5,56,752,4.18,4.15,2.56
0.5,5,4,4,62,56,1449,5.09,5.11,3.16
0.3,5,3,7,61.9,57,814,4.3,4.32,2.67
0.32,5,5,4,61.3,55,505,4.4,4.44,2.71
0.33,5,2,3,61.9,56,702,4.46,4.49,2.77
0.9,5,4,3,60.3,56,3780,6.27,6.23,3.77
0.38,5,3,7,62.3,54,1096,4.64,4.7,2.91
0.65,5,4,5,60.6,60,2242,5.58,5.61,3.39
0.34,4,4,4,60.2,58,765,4.55,4.52,2.73
0.53,4,4,4,61.2,57,1607,5.26,5.19,3.2
0.91,3,4,3,63.5,58,4081,6.15,6.04,3.87
0.76,5,1,6,62.3,57,4150,5.87,5.84,3.65
1,5,5,2,62.5,54,4163,6.32,6.38,3.97
1.03,5,3,6,61.6,56,8860,6.53,6.46,4
0.7,4,2,2,61.8,59,2159,5.69,5.76,3.54
0.26,2,2,6,63.1,59,599,4.04,4.08,2.56
2.05,3,3,2,61.9,56,15017,8.13,8.18,5.05
1.01,5,2,5,62.7,55,7528,6.4,6.45,4.03
0.71,5,1,3,61.9,59,2764,5.69,5.72,3.53
0.31,3,4,8,61.6,55,924,4.38,4.42,2.71
1.05,5,4,4,61.7,57,7028,6.56,6.53,4.04
1,5,2,2,61.8,57,4829,6.43,6.39,3.96
0.3,4,4,5,61.3,58,605,4.29,4.33,2.64
1.23,3,3,5,60.6,58,9346,6.88,6.95,4.19
1.31,4,5,2,61.4,60,6236,7.04,7,4.31
0.83,4,5,3,62.5,59,2825,6.02,5.95,3.74
0.41,3,3,5,60.7,56,1007,4.77,4.82,2.91
0.4,3,2,3,63,57,725,4.68,4.71,2.96
0.57,5,2,7,62.3,53.5,2632,5.29,5.33,3.31
0.51,4,2,3,61.3,59,1624,5.15,5.13,3.15
0.23,3,3,5,60.9,57,357,3.96,3.99,2.42
1.5,5,6,1,61.8,57,5510,7.39,7.31,4.54
1.01,3,2,2,59.4,59,3857,6.49,6.51,3.86
0.37,3,5,5,59.8,59,695,4.66,4.7,2.8
1.21,4,6,3,61.8,59,5276,6.85,6.81,4.22
0.3,5,5,6,62.1,56,776,4.32,4.28,2.67
0.51,5,2,4,61.5,55,1662,5.23,5.14,3.19
0.71,5,3,2,62.2,56,2173,5.76,5.7,3.56
0.53,4,2,3,60,60,1607,5.27,5.24,3.21
1.57,5,5,3,60.5,57,10521,7.6,7.57,4.59
0.8,2,4,2,64.2,55,2246,5.89,5.83,3.76
1.01,3,1,2,63.5,61,4538,6.37,6.33,4.03
0.51,5,4,5,61.6,56,1662,5.18,5.15,3.18
0.41,5,1,3,63,53,744,4.74,4.79,3
0.92,4,5,4,62.4,60,4451,6.24,6.16,3.87
0.24,3,1,6,58.8,58,521,4.05,4.08,2.39
0.5,4,4,2,62.4,61,863,5.02,4.98,3.12
0.36,4,5,6,60.6,58,932,4.6,4.58,2.78
1.51,3,6,3,62.6,60,8637,7.27,7.34,4.57
0.5,1,3,4,64.6,58,1323,5.01,4.99,3.23
0.3,5,5,6,61.5,56,605,4.33,4.35,2.67
0.73,5,3,2,62.1,56,2712,5.8,5.76,3.59
0.38,5,3,4,61.3,57,822,4.65,4.68,2.86
0.7,5,3,7,62.2,55,3348,5.69,5.66,3.53
1.5,5,3,4,61.9,56.4,15444,7.31,7.33,4.53
0.32,5,2,7,61.7,55,917,4.39,4.43,2.72
0.26,3,4,6,62.2,56,426,4.08,4.1,2.54
1.01,4,4,5,62.3,59,6618,6.42,6.38,3.99
1.56,5,6,4,62.5,57,9295,7.4,7.36,4.63
0.91,3,3,2,63.1,56,3489,6.13,6.17,3.88
0.71,3,2,5,63.3,56,3061,5.64,5.68,3.58
0.7,4,4,3,61.2,60,2042,5.7,5.74,3.5
1.21,4,3,5,61.3,57,8879,6.9,6.86,4.22
1.06,4,2,3,62,61,5485,6.55,6.51,4.05
0.41,3,4,3,62.9,56,719,4.7,4.75,2.97
1.01,3,6,3,58.8,58,3610,6.52,6.57,3.85
0.3,3,4,4,60.8,61,526,4.31,4.34,2.63
0.75,2,4,2,63.6,58,1819,5.75,5.7,3.64
0.38,5,1,6,61.5,57,1257,4.67,4.63,2.86
0.32,5,5,5,61.5,57,720,4.42,4.4,2.71
0.56,5,3,6,61.2,57,2202,5.31,5.35,3.26
0.3,5,2,4,62,56,658,4.3,4.34,2.68
0.3,4,5,7,62.3,58,684,4.29,4.32,2.68
1.55,1,5,2,64.6,58,9045,7.28,7.21,4.68
0.41,4,4,4,61.7,61,1061,4.74,4.7,2.91
1.23,5,6,2,61.2,58,5315,6.86,6.9,4.21
0.96,1,4,2,66.8,61,2539,6.15,6.04,4.07
1.28,5,3,6,62.2,56,12958,6.95,6.91,4.32
1.31,5,2,5,61.7,55,10711,7.11,7.05,4.37
0.51,5,5,7,61.7,57,1837,5.12,5.15,3.16
0.31,5,1,4,62.2,56,942,4.36,4.32,2.7
0.59,5,4,4,61.9,56,2057,5.38,5.42,3.34
0.92,4,3,3,61.8,59,4037,6.21,6.25,3.85
0.53,5,3,4,62.3,55,1566,5.17,5.2,3.23
1.07,5,5,7,61.7,56,7273,6.56,6.68,4.06
0.72,5,3,2,62.4,55,2232,5.72,5.76,3.58
0.34,4,6,3,61.3,61,574,4.49,4.45,2.74
1.16,4,4,3,62.5,58,6132,6.73,6.68,4.19
0.91,3,3,3,63.1,60,3007,6.13,6.1,3.86
1.13,5,4,2,62.9,54,5164,6.72,6.67,4.21
0.7,4,1,3,61.2,58,2512,5.74,5.7,3.5
0.59,5,6,7,61,55,1742,5.43,5.48,3.33
0.59,5,3,2,61.8,55,1265,5.41,5.44,3.35
0.91,3,2,4,58.4,63,4823,6.31,6.32,3.69
0.77,4,2,2,62.5,60,2171,5.84,5.8,3.64
1.5,4,3,3,62.6,60,10962,7.27,7.18,4.52
0.55,5,4,3,61.9,57,1605,5.23,5.27,3.25
0.3,4,2,4,61.9,59,844,4.33,4.29,2.67
2.11,1,6,3,67.2,60,15282,7.86,7.8,5.26
1.72,3,2,3,62.2,58,15948,7.63,7.7,4.77
0.9,1,2,4,64.5,61,4125,6.07,6.03,3.9
0.7,5,4,5,60.6,57,2535,5.75,5.7,3.47
2.13,4,5,2,62.4,56,12753,8.26,8.19,5.13
0.58,3,1,6,60,55,2714,5.44,5.49,3.28
0.42,5,2,7,62.1,55,1400,4.78,4.81,2.98
1.02,4,4,2,62.5,58,4552,6.43,6.4,4.01
2.16,3,4,2,62.6,55,15166,8.2,8.25,5.14
0.52,4,1,4,60.6,56,1919,5.25,5.22,3.17
0.53,5,1,4,62.2,56,1857,5.16,5.19,3.22
0.52,5,4,6,60.8,57,1878,5.2,5.17,3.15
0.5,3,3,5,61.9,62,1558,5.02,5.06,3.12
0.36,5,5,3,62.3,53,538,4.57,4.61,2.86
0.26,5,5,2,62.5,53,362,4.09,4.13,2.57
0.33,4,4,5,61.9,58,854,4.46,4.43,2.75
0.55,5,5,6,61.7,57,1715,5.26,5.28,3.25
1.5,2,2,3,64.2,55,12754,7.17,7.22,4.62
2.01,4,7,5,60.2,61,12963,8.23,8.16,4.93
0.4,4,7,5,60.7,60,810,4.79,4.76,2.9
0.29,5,5,7,62.1,55,607,4.28,4.3,2.66
0.77,2,5,2,58.6,64,2262,6.01,5.93,3.5
0.52,3,3,6,62.1,58,2064,5.12,5.16,3.19
0.53,4,2,4,59.9,61,1946,5.3,5.25,3.16
1.12,5,1,4,62,55,8430,6.66,6.63,4.12
0.31,3,3,4,62.7,57,625,4.3,4.34,2.71
0.6,3,5,3,63.1,60,1402,5.3,5.35,3.36
1.01,2,3,4,63.2,58,5988,6.33,6.36,4.01
1.41,4,4,5,62.1,59,11347,7.1,7.06,4.4
0.31,2,5,3,64,54,521,4.31,4.29,2.75
1.01,5,5,3,62.4,53,4559,6.42,6.47,4.02
0.4,4,2,3,62.6,59,737,4.68,4.71,2.94
0.31,4,3,4,61.4,58,625,4.36,4.4,2.69
1.61,5,1,4,62,55,18318,7.51,7.5,4.67
1.2,5,6,2,59.6,61,4890,6.95,6.97,4.15
0.33,3,4,3,61.2,56,521,4.44,4.46,2.72
1.72,1,1,2,64.6,58,8264,7.53,7.46,4.84
1.01,4,4,2,62.4,58,4362,6.38,6.41,3.99
0.42,5,1,7,61.8,56,1547,4.79,4.82,2.97
1.13,5,3,1,62.2,55,3542,6.63,6.68,4.14
0.32,3,2,3,63.1,54,672,4.41,4.37,2.77
1.04,5,4,5,61.7,57,7294,6.47,6.53,4.01
0.9,3,2,2,63.4,62,3084,6.02,6,3.81
0.48,2,3,5,59,60.9,1402,5.09,5.15,3.02
2.08,4,3,2,62,60,13437,8.15,8.1,5.04
0.32,5,5,5,61,56,580,4.43,4.45,2.71
0.78,5,1,3,61.9,57,2799,5.91,5.86,3.64
0.4,3,3,3,62.9,57,737,4.68,4.7,2.95
0.3,5,2,7,61.8,56,895,4.3,4.31,2.66
1.12,3,4,2,61.2,58,5504,6.65,6.69,4.08
0.37,5,6,8,61.4,55,754,4.65,4.67,2.86
2.1,4,4,2,62.6,56,15175,8.2,8.16,5.12
1.07,5,5,2,59.2,57,4314,6.7,6.64,3.95
0.7,5,2,4,62.6,55,3268,5.66,5.68,3.55
1.11,4,3,2,62.5,59,4134,6.59,6.53,4.1
1.11,5,6,3,61.9,57,4709,6.62,6.67,4.11
0.38,5,5,3,61.2,56,834,4.68,4.63,2.85
1.02,2,1,2,57.5,62,3909,6.62,6.6,3.8
0.51,5,4,3,61.3,55,1329,5.18,5.22,3.19
1.06,4,3,3,61.9,58,4774,6.53,6.58,4.06
2.02,5,5,2,60.8,56,11715,8.21,8.14,4.97
0.43,4,1,3,61.1,59,830,4.83,4.89,2.97
1.23,5,5,3,61.5,57,6681,6.92,6.89,4.25
0.33,3,1,4,60.8,60,615,4.52,4.46,2.73
1.01,4,5,5,61.9,57,4779,6.43,6.39,3.97
1.51,2,5,3,61.8,62,9681,7.25,7.29,4.49
1.16,5,6,3,62.4,57,5107,6.71,6.75,4.2
0.41,2,2,4,63.1,64,910,4.63,4.66,2.93
1.2,4,2,2,58.2,59,5268,6.98,6.9,4.04
0.91,3,1,4,59.6,58,5825,6.32,6.34,3.77
0.3,4,6,7,62.2,58,552,4.28,4.31,2.67
1.16,5,4,3,61.8,55,5908,6.75,6.78,4.18
0.23,2,3,6,64.5,55,425,3.83,3.86,2.48
0.5,2,4,5,57.5,56,1429,5.3,5.24,3.03
0.3,5,6,3,61.9,57,422,4.3,4.32,2.67
0.9,3,4,6,61.4,60,5640,6.18,6.23,3.81
0.34,2,4,4,63.1,57,596,4.43,4.47,2.81
1.01,5,3,2,62.4,56,3733,6.44,6.38,4
1.2,3,1,4,63.5,58,9138,6.68,6.71,4.25
1.25,2,3,2,59,61,6032,7.01,7.06,4.15
1.09,5,5,3,62.1,55,5376,6.6,6.64,4.11
0.35,5,2,2,61.7,56,491,4.53,4.55,2.8
0.7,5,4,5,61.7,56,2972,5.64,5.71,3.5
1.02,3,5,2,62.6,57,4341,6.42,6.46,4.03
0.73,5,4,4,60.2,55,3389,5.85,5.9,3.54
2.31,4,7,3,61.1,60,15323,8.58,8.51,5.22
0.51,5,3,4,60.6,56,1687,5.19,5.17,3.14
1.15,3,4,4,60.1,60,7175,6.75,6.8,4.08
0.34,4,6,7,62.4,59,626,4.4,4.44,2.76
0.33,4,3,2,62.3,58,434,4.4,4.43,2.75
1.01,3,1,4,60.4,58,6905,6.47,6.57,3.94
0.74,5,1,5,61.3,57,3812,5.8,5.84,3.57
0.24,5,2,7,60.9,56,752,4.01,4.04,2.45
0.38,5,2,8,62.7,55,1433,4.61,4.67,2.91
0.7,4,2,3,62.9,58,2333,5.68,5.61,3.55
0.7,5,2,4,62.6,57,2952,5.63,5.68,3.54
1.05,5,4,7,60.1,57,8623,6.58,6.63,3.97
0.41,5,2,4,61.6,55,935,4.75,4.79,2.94
1.02,1,5,5,71.8,56,4455,6.04,5.97,4.31
1,3,4,4,61.5,58,5860,6.36,6.39,3.92
1.42,5,5,2,62.2,56,7475,7.21,7.16,4.47
1.5,2,7,2,63.7,58,5107,7.19,7.13,4.56
1.01,4,4,2,60.1,60,4270,6.48,6.44,3.88
2.48,3,3,2,63.4,56,18692,8.64,8.55,5.45
1.13,4,4,1,61.2,58,3746,6.77,6.66,4.11
0.72,5,3,2,61.7,55,2298,5.79,5.75,3.56
0.72,1,6,6,65.7,57,2131,5.56,5.64,3.68
0.83,3,3,2,61.9,56,2939,5.99,6.02,3.72
1.01,4,4,2,62,58,4327,6.41,6.37,3.96
0.75,5,6,5,61.1,59,2659,5.85,5.87,3.58
1.25,4,4,7,58.2,61,8281,7.1,7.05,4.12
1.05,3,5,3,59.5,58,4608,6.61,6.69,3.96
0.42,4,3,3,62.7,55,992,4.83,4.8,3.02
0.6,5,4,5,61.3,57,2105,5.4,5.47,3.33
0.38,3,1,4,61,58,847,4.7,4.75,2.88
0.7,3,2,7,60.9,59,3724,5.67,5.81,3.5
0.71,5,5,2,61.8,55,2024,5.75,5.7,3.54
0.7,5,3,3,61.4,57,2596,5.69,5.67,3.49
0.54,4,5,3,61,58,1240,5.27,5.23,3.2
1,2,7,2,57.8,61,3536,6.54,6.58,3.79
0.55,5,3,4,61.7,57,1692,5.24,5.29,3.25
0.73,4,1,4,59.8,58,3308,5.85,5.89,3.51
0.77,4,4,2,61.3,58,2129,5.94,5.88,3.62
1.07,5,2,3,61.4,55,6561,6.57,6.62,4.05
0.5,3,2,3,63.4,55,1289,5.02,5.1,3.21
0.56,3,5,2,59.5,57,1144,5.4,5.43,3.22
0.9,3,7,4,63.5,56,3145,6.12,6.1,3.88
0.77,5,5,4,61.3,56,3996,5.91,5.94,3.63
1.71,2,3,2,64,59,11225,7.53,7.44,4.79
0.51,5,2,3,61.7,55,1343,5.13,5.17,3.18
2.39,4,6,5,61.2,60,17642,8.63,8.6,5.27
0.73,4,1,2,62.4,58,2519,5.72,5.67,3.56
0.2,5,2,4,59.7,55,367,3.86,3.84,2.3
0.33,5,2,4,61.5,57,928,4.47,4.41,2.73
0.9,3,3,2,61.3,60,3468,6.18,6.22,3.8
0.98,4,5,1,59.6,60,2046,6.61,6.48,3.89
0.7,4,5,7,59.2,60,2840,5.87,5.78,3.45
1.24,5,4,4,62.3,57,8799,6.95,6.89,4.31
0.7,4,1,5,60.6,58,3239,5.73,5.75,3.48
1.6,5,7,3,62.2,55,8138,7.46,7.53,4.66
2.23,4,7,5,61.7,58,16025,8.41,8.34,5.17
1,2,4,5,63.9,55,6028,6.34,6.28,4.03
0.9,4,2,4,60.6,53,4562,6.3,6.27,3.81
1.5,3,6,6,63.3,58,9828,7.24,7.21,4.57
0.9,5,6,4,61.5,58,3629,6.19,6.23,3.82
0.34,5,4,6,61.1,57,775,4.48,4.52,2.75
1,4,1,3,61.4,58,5096,6.4,6.34,3.91
2.02,5,4,2,63.5,54,15814,7.96,8.02,5.07
0.54,5,3,2,61.1,56,1154,5.22,5.26,3.2
0.5,4,2,3,62.3,58,1316,5.09,5.15,3.19
0.64,5,1,7,61.5,56,4281,5.57,5.59,3.43
0.27,5,2,6,62,55,799,4.14,4.12,2.56
0.28,5,5,6,61.2,55,514,4.18,4.22,2.57
2.04,4,4,1,62.4,58,9905,8.17,8.08,5.07
0.6,4,5,3,58.9,61,1341,5.54,5.5,3.25
0.43,5,3,3,61.8,56,1016,4.87,4.84,3
0.8,3,5,4,62.8,57,2808,5.87,5.91,3.7
1.09,5,6,5,61.4,56,6225,6.61,6.66,4.07
0.9,5,1,3,61.9,55,4435,6.22,6.18,3.84
1.01,5,3,3,61.7,56,5932,6.45,6.48,3.99
0.31,5,4,4,61.7,55,544,4.35,4.37,2.69
0.74,4,5,3,60.9,60,2201,5.81,5.75,3.52
1.01,3,3,3,63.3,59,4989,6.42,6.38,4.05
0.71,5,4,2,62.8,57,1840,5.68,5.63,3.55
1.22,5,4,5,61.3,56,8313,6.93,6.88,4.23
0.3,5,2,3,61.9,57,526,4.29,4.33,2.67
0.33,3,6,4,61,61,463,4.43,4.46,2.71
0.32,4,6,8,60.3,58,864,4.45,4.41,2.67
0.71,3,3,3,63,55,2416,5.65,5.71,3.58
0.77,2,1,4,64.3,56,3428,5.84,5.77,3.73
0.84,2,4,3,65.1,55,2872,5.88,5.97,3.86
0.56,5,3,5,61.7,56,2016,5.32,5.28,3.27
0.56,5,3,3,61.5,55,1365,5.32,5.35,3.28
0.54,3,5,3,63.3,57,1240,5.22,5.15,3.28
0.71,5,5,8,62.2,57,3234,5.7,5.74,3.56
0.3,4,2,4,62.6,58,844,4.3,4.26,2.68
1.51,3,3,4,62.8,56,14165,7.27,7.32,4.58
2.01,4,6,3,58.9,59,13755,8.26,8.22,4.85
0.51,5,4,6,61.1,56,1875,5.15,5.19,3.16
0.74,5,5,5,61.6,55,3030,5.79,5.83,3.58
1.06,5,5,3,62.7,57,4196,6.53,6.48,4.08
1.5,3,2,5,59.5,61,16988,7.43,7.46,4.43
1.35,4,5,3,62.4,58,7673,7.03,6.95,4.36
0.33,4,3,4,62.1,59,854,4.45,4.4,2.75
0.3,5,3,5,61.3,55,570,4.32,4.36,2.66
0.4,5,3,3,61.9,57,694,4.71,4.76,2.93
0.33,4,4,7,60.9,58,1114,4.47,4.43,2.71
0.55,4,1,7,60.3,59,3006,5.34,5.3,3.21
0.51,2,7,3,63.9,55,1071,5.01,4.97,3.19
1.21,5,3,1,62,56,4377,6.84,6.8,4.23
0.31,5,6,7,61.3,56,557,4.36,4.38,2.68
1.22,4,7,2,62.6,59,3156,6.79,4.24,3.76
0.35,3,5,3,61.3,55,504,4.55,4.58,2.8
1.04,5,4,2,60.7,57,4455,6.61,6.51,3.98
1.02,5,4,5,61.6,55,7129,6.53,6.46,4
0.92,2,4,6,58.8,57,5390,6.32,6.37,3.73
0.9,3,2,3,62.2,60,4054,6.14,6.17,3.83
0.34,5,3,4,61.4,55,856,4.54,4.52,2.78
1.1,2,3,2,63.7,58,3918,6.48,6.45,4.12
0.42,4,2,4,62.8,59,1024,4.8,4.76,3
0.92,3,2,3,63.2,58,4183,6.18,6.16,3.9
0.37,4,7,4,61.1,60,454,4.6,4.63,2.82
1.03,4,3,3,60.9,61,5087,6.54,6.5,3.97
0.31,3,5,5,63.1,58,698,4.3,4.26,2.7
2.01,1,6,2,66.5,61,10671,7.81,7.75,5.17
1.51,4,3,4,61.8,56,13221,7.39,7.28,4.53
0.52,5,5,7,61,56,1748,5.17,5.21,3.17
0.41,5,2,5,60.4,55,1115,4.85,4.89,2.94
0.34,5,1,3,60.4,57,803,4.53,4.51,2.73
0.3,5,4,7,62,58,764,4.27,4.31,2.66
0.42,5,2,4,61.7,56,1024,4.82,4.8,2.97
0.9,2,7,4,57.9,63,3423,6.32,6.35,3.67
0.32,4,3,4,61.7,58,645,4.38,4.41,2.71
0.31,5,5,4,61.5,57,628,4.38,4.33,2.68
0.64,3,4,5,60.4,62,2060,5.54,5.58,3.36
0.29,5,3,4,61.6,56,504,4.28,4.32,2.65
1.04,4,2,7,60.9,58,11279,6.53,6.61,4
0.7,5,4,4,60,57,2633,5.8,5.84,3.49
0.52,4,4,6,61.2,59,1911,5.14,5.16,3.15
0.5,3,4,5,59.4,60,1624,5.13,5.17,3.06
1.2,5,2,2,62,57,7018,6.8,6.82,4.22
1.01,2,4,6,58.2,55,7306,6.65,6.68,3.88
0.9,4,1,3,59.4,62,4304,6.24,6.19,3.69
0.28,2,4,4,61.8,61,394,4.2,4.21,2.6
0.33,4,2,5,61,55,1069,4.51,4.47,2.74
0.3,4,1,3,62.5,59,520,4.26,4.22,2.65
1.16,4,3,4,62.7,58,7003,6.71,6.65,4.19
0.38,5,6,3,61.9,54,593,4.64,4.67,2.88
1.07,4,4,2,62.1,59,4584,6.54,6.48,4.04
0.4,5,7,5,62.6,55,631,4.71,4.75,2.96
1.01,2,4,3,63.5,60,4588,6.3,6.33,4.01
0.36,3,1,3,62.8,57,619,4.51,4.54,2.84
0.3,5,3,8,62,56,947,4.3,4.34,2.68
1.51,3,6,3,63.5,57,8214,7.19,7.24,4.58
0.3,5,3,5,61.9,55,673,4.28,4.3,2.66
1.01,5,5,3,61.2,57,5387,6.42,6.47,3.95
1.5,3,2,2,63.1,57,8820,7.32,7.27,4.6
0.33,5,4,5,62.3,57,666,4.38,4.42,2.74
0.38,3,4,7,61.3,57,995,4.62,4.68,2.85
0.91,4,6,5,59.5,62,3620,6.3,6.24,3.73
0.41,4,1,3,59.6,59,791,4.82,4.85,2.88
1,4,7,4,60.7,61,3685,6.5,6.41,3.92
0.7,5,5,5,62,59,2648,5.68,5.71,3.53
0.41,4,6,6,62.4,60,1061,4.73,4.7,2.94
0.32,3,3,2,62.6,56,421,4.37,4.41,2.75
0.3,5,4,7,61.4,58,764,4.31,4.35,2.66
1.55,3,4,5,60.8,60,14386,7.46,7.51,4.55
0.7,3,3,3,63.2,57,2423,5.68,5.62,3.57
1.5,5,6,4,62.6,57,9586,7.26,7.31,4.56
0.31,4,5,4,62.4,59,489,4.31,4.34,2.7
1.51,2,4,6,63.8,59,13275,7.28,7.24,4.63
0.37,5,7,5,62.6,57,624,4.57,4.54,2.85
1,5,1,3,63,56,4592,6.33,6.28,3.97
1.75,5,5,1,61.6,56,7680,7.73,7.75,4.77
1.51,5,4,5,62.1,55,13995,7.38,7.33,4.57
1.03,2,4,3,63.2,58,4679,6.38,6.43,4.05
0.36,5,3,4,62,55,932,4.58,4.55,2.83
1.53,5,6,4,62.3,57,9189,7.3,7.35,4.56
1.15,4,1,3,63,57,6942,6.69,6.64,4.2
1.02,5,3,2,62.6,56,4851,6.38,6.44,4.01
0.31,3,5,4,62.5,60,489,4.31,4.36,2.71
0.91,5,4,5,61.3,56,4029,6.28,6.21,3.83
0.51,4,2,4,61.5,60,1567,5.12,5.09,3.14
1,5,3,3,63,56,5656,6.41,6.38,4.03
0.9,1,3,2,69,59,2536,5.89,5.82,4.04
0.38,5,2,2,61.5,55,603,4.69,4.72,2.89
0.4,5,2,4,62.3,56,975,4.75,4.72,2.95
1.21,3,3,2,62.7,57,5290,6.74,6.81,4.25
0.31,5,4,4,61.7,57,544,4.33,4.36,2.68
0.38,4,2,4,61.8,58,866,4.61,4.64,2.86
0.31,2,4,5,63.2,56,625,4.29,4.32,2.72
0.7,4,5,6,59.6,59,2717,5.83,5.78,3.46
1.5,4,7,6,61.8,60,8603,7.33,7.36,4.54
0.9,3,5,4,62.6,58,3989,6.14,6.22,3.87
0.7,2,1,2,59.3,60,2461,5.74,5.8,3.42
1.11,5,4,4,62,56,7608,6.65,6.62,4.12
0.7,5,5,3,61.4,57,2240,5.64,5.76,3.5
0.78,4,6,4,62.7,58,2646,5.89,5.82,3.68
2.11,4,4,2,62.2,60,16336,8.19,8.15,5.08
0.5,5,5,4,60.8,56,1446,5.17,5.19,3.14
0.41,2,7,5,63.7,56,647,4.68,4.71,2.99
0.5,4,5,2,62.6,61,1024,5.06,5.03,3.1
0.59,3,2,2,63.8,57,1286,5.31,5.34,3.4
0.79,4,4,3,61.7,60,2389,5.93,5.91,3.65
0.5,3,1,3,58.9,61,1436,5.16,5.19,3.05
1.28,5,4,5,62.1,56,10537,6.97,6.94,4.32
0.4,5,4,6,62.3,54,931,4.75,4.78,2.97
1.05,4,4,2,62.5,60,4318,6.5,6.45,4.05
0.3,4,6,5,59.8,60,608,4.36,4.34,2.6
0.94,4,1,3,60.7,60,4817,6.32,6.27,3.82
0.41,3,2,3,60.5,63,904,4.81,4.77,2.9
0.31,3,4,3,61.5,59,462,4.34,4.38,2.68
1.04,5,5,2,62.2,56,4077,6.51,6.48,4.04
1.01,4,1,2,58,60,3604,6.58,6.53,3.8
1.51,3,6,3,63.1,56,7891,7.28,7.33,4.61
1.12,4,6,4,61.9,58,5119,6.68,6.63,4.12
0.32,4,3,6,61.8,60,1008,4.41,4.36,2.71
0.35,3,1,3,63.3,56,772,4.53,4.5,2.86
0.51,4,2,4,62.5,59,1781,5.11,5.06,3.18
1.65,5,1,2,61.5,56,10847,7.63,7.69,4.71
0.26,3,4,5,61.9,56,418,4.07,4.1,2.53
1.06,5,4,4,61.9,55,6728,6.54,6.57,4.06
0.51,5,2,4,61.4,55,1662,5.2,5.15,3.18
1.03,4,5,4,60.9,58,5364,6.55,6.48,3.97
1.51,5,4,3,61.6,57,11917,7.34,7.31,4.52
1,3,4,6,59.8,59,7584,6.47,6.51,3.88
0.32,5,2,4,62,57,702,4.37,4.41,2.72
0.33,4,6,7,61.9,60,780,4.44,4.41,2.74
0.4,5,7,7,61.9,56,1136,4.74,4.79,2.95
0.9,3,5,4,63.6,58,4258,6.1,6.14,3.89
1.57,3,7,4,62,58,8538,7.45,7.48,4.63
0.57,5,3,6,62.1,56,2360,5.35,5.31,3.31
1.5,3,5,2,62.1,59,7365,7.24,7.28,4.51
0.42,5,5,6,62.4,56,921,4.78,4.8,2.99
0.39,5,2,5,62.2,55,948,4.67,4.7,2.91
0.9,3,6,4,62.8,52,3764,6.19,6.23,3.9
0.72,5,6,6,62.4,53,2340,5.75,5.78,3.6
1.5,4,5,5,62.1,59,11088,7.27,7.31,4.53
0.39,5,2,2,61,55,614,4.74,4.77,2.9
0.91,4,3,2,58.2,61,3746,6.58,6.41,3.77
0.27,5,6,6,62.1,55,459,4.17,4.2,2.6
0.81,5,4,6,61.7,55.1,4127,5.97,6.04,3.71
1.21,5,7,5,61.8,56.2,5604,6.78,6.86,4.2
0.31,5,2,4,61.9,55,872,4.39,4.34,2.7
1.59,3,1,4,61.4,60,12846,7.47,7.6,4.63
0.83,3,3,5,63.3,56,3603,5.99,5.92,3.77
1.2,3,1,2,63.2,60,5174,6.65,6.54,4.17
0.3,5,5,3,61.9,54,514,4.31,4.34,2.68
0.78,5,3,2,60.6,55,2386,6,5.99,3.63
2.02,4,6,4,61.2,60,11059,8.22,8.13,5
1.52,4,5,5,58.4,59,11853,7.55,7.52,4.4
0.71,5,6,3,61.4,56,2255,5.73,5.77,3.53
0.31,5,5,6,61.5,56,625,4.35,4.37,2.68
0.3,3,2,5,61.4,59,653,4.32,4.28,2.64
0.4,3,2,5,62.6,56,1053,4.67,4.72,2.94
0.41,4,4,7,61,61,1230,4.75,4.72,2.89
1.71,5,7,3,62.8,57,6320,7.58,7.55,4.75
0.71,3,3,2,59,58,2098,5.84,5.89,3.46
1.5,4,3,4,61.6,58,14199,7.37,7.31,4.52
0.9,1,6,3,65.3,61,2873,5.98,5.94,3.89
0.9,2,5,4,61.5,61,4156,6.15,6.24,3.81
0.3,5,4,3,62.3,54,469,4.29,4.32,2.68
0.4,4,2,3,62.2,62,882,4.69,4.66,2.91
0.32,5,4,4,61.6,57,720,4.41,4.39,2.71
0.43,5,6,8,62.3,53,1046,4.82,4.9,3.02
0.52,5,3,3,62,54,1624,5.19,5.16,3.21
0.4,4,1,2,61.7,58,666,4.69,4.74,2.91
0.31,4,5,4,62.2,58,628,4.34,4.31,2.69
1.08,5,4,3,61.7,56,5439,6.6,6.63,4.08
1.22,4,4,2,60.5,58,5739,6.96,6.92,4.2
0.4,5,6,7,62.3,53.7,870,4.72,4.74,2.95
0.32,4,4,6,60.8,59,730,4.41,4.44,2.69
0.3,5,4,3,61.6,57,432,4.29,4.34,2.66
0.72,3,4,4,63.1,57,2732,5.74,5.71,3.61
1.01,2,5,2,63.5,60,3971,6.23,6.31,3.98
0.36,4,2,3,60.9,60,810,4.61,4.56,2.79
0.77,5,6,3,61.5,56,2946,5.9,5.93,3.64
